"root","pos","meaning_kz","meaning_ru","harmony","meaning_en"
"туризм","n","туризм","туризм","back","туризм"
"экскурсия","n","экскурсия","экскурсия","back","экскурсия"
"демалыс","n","демалыс","отдых","back","отдых"
"каникул","n","каникул","каникулы","back","каникулы"
"мереке","n","мереке","праздник","front","праздник"
"мейрам","n","мейрам","праздник","front","праздник"
"той","n","той","торжество","back","торжество"
"жиын","n","жиын","собрание","back","собрание"
"кездесу","n","кездесу","встреча","front","встреча"
"келіссөз","n","келіссөз","переговоры","front","переговоры"
"конференция","n","конференция","конференция","back","конференция"
"форум","n","форум","форум","back","форум"
"съезд","n","съезд","съезд","back","съезд"
"симпозиум","n","симпозиум","симпозиум","back","симпозиум"
"семинар","n","семинар","семинар","back","семинар"
"тренинг","n","тренинг","тренинг","back","тренинг"
"курс","n","курс","курс","back","курс"
"сабақ","n","сабақ","урок","back","урок"
"дәріс","n","дәріс","лекция","front","лекция"
"лекция","n","лекция","лекция","back","лекция"
"практика","n","практика","практика","back","практика"
"лаборатория","n","лаборатория","лаборатория","back","лаборатория"
"кабинет","n","кабинет","кабинет","back","кабинет"
"аудитория","n","аудитория","аудитория","back","аудитория"
"сынып","n","сынып","класс","back","класс"
"парта","n","парта","парта","back","парта"
"тақта","n","тақта","доска","back","доска"
"бор","n","бор","мел","back","мел"
"интерактивті тақта","n","интерактивті тақта","интерактивная доска","front","интерактивная доска"
"проектор","n","проектор","проектор","back","проектор"
"экран","n","экран","экран","back","экран"
"бейнебақылау","n","бейнебақылау","видеонаблюдение","front","видеонаблюдение"
"камера","n","камера","камера","back","камера"
"микрофон","n","микрофон","микрофон","back","микрофон"
"динамик","n","динамик","динамик","back","динамик"
"колонка","n","колонка","колонка","back","колонка"
"наушник","n","наушник","наушники","back","наушники"
"гарнитура","n","гарнитура","гарнитура","back","гарнитура"
"бағдарламалық қамтама","n","бағдарламалық қамтама","программное обеспечение","back","программное обеспечение"
"операциялық жүйе","n","операциялық жүйе","операционная система","back","операционная система"
"қосымша","n","қосымша","приложение","back","приложение"
"бағдарлама","n","бағдарлама","программа","back","программа"
"код","n","код","код","back","код"
"скрипт","n","скрипт","скрипт","back","скрипт"
"алгоритм","n","алгоритм","алгоритм","back","алгоритм"
"деректер базасы","n","деректер базасы","база данных","front","база данных"
"сервер","n","сервер","сервер","back","сервер"
"желі","n","желі","сеть","front","сеть"
"интернет","n","интернет","интернет","back","интернет"
"сайт","n","сайт","сайт","back","сайт"
"портал","n","портал","портал","back","портал"
"парақша","n","парақша","страница","back","страница"
"профиль","n","профиль","профиль","back","профиль"
"аккаунт","n","аккаунт","аккаунт","back","аккаунт"
"логин","n","логин","логин","back","логин"
"пароль","n","пароль","пароль","back","пароль"
"құпия сөз","n","құпия сөз","пароль","back","пароль"
"электронды пошта","n","электронды пошта","электронная почта","front","электронная почта"
"мессенджер","n","мессенджер","мессенджер","back","мессенджер"
"чат","n","чат","чат","back","чат"
"форум","n","форум","форум","back","форум"
"блог","n","блог","блог","back","блог"
"влог","n","влог","влог","back","влог"
"подкаст","n","подкаст","подкаст","back","подкаст"
"стрим","n","стрим","стрим","back","стрим"
"видео","n","видео","видео","back","видео"
"аудио","n","аудио","аудио","back","аудио"
"музыка","n","музыка","музыка","back","музыка"
"кино","n","кино","кино","back","кино"
"фильм","n","фильм","фильм","back","фильм"
"сериал","n","сериал","сериал","back","сериал"
"мультфильм","n","мультфильм","мультфильм","back","мультфильм"
"ролик","n","ролик","ролик","back","ролик"
"клип","n","клип","клип","back","клип"
"трейлер","n","трейлер","трейлер","back","трейлер"
"спектакль","n","спектакль","спектакль","back","спектакль"
"концерт","n","концерт","концерт","back","концерт"
"фестиваль","n","фестиваль","фестиваль","back","фестиваль"
"байқау","n","байқау","конкурс","back","конкурс"
"жарыс","n","жарыс","соревнование","back","соревнование"
"турнир","n","турнир","турнир","back","турнир"
"чемпионат","n","чемпионат","чемпионат","back","чемпионат"
"олимпиада","n","олимпиада","олимпиада","back","олимпиада"
"спартакиада","n","спартакиада","спартакиада","back","спартакиада"
"марафон","n","марафон","марафон","back","марафон"
"эстафета","n","эстафета","эстафета","back","эстафета"
"кросс","n","кросс","кросс","back","кросс"
"старт","n","старт","старт","back","старт"
"финиш","n","финиш","финиш","back","финиш"
"жеңімпаз","n","жеңімпаз","победитель","back","победитель"
"жүлдегер","n","жүлдегер","призер","back","призер"
"чемпион","n","чемпион","чемпион","back","чемпион"
"рекорд","n","рекорд","рекорд","back","рекорд"
"көрсеткіш","n","көрсеткіш","показатель","front","показатель"
"нәтиже","n","нәтиже","результат","front","результат"
"қорытынды","n","қорытынды","итог","back","итог"
"баға","n","баға","оценка","back","оценка"
"бағалау","n","бағалау","оценивание","back","оценивание"
"емтихан","n","емтихан","экзамен","back","экзамен"
"сынақ","n","сынақ","зачет","back","зачет"
"тест","n","тест","тест","back","тест"
"тапсырма","n","тапсырма","задание","back","задание"
"жұмыс","n","жұмыс","работа","back","работа"
"есеп","n","есеп","отчет","front","отчет"
"баяндама","n","баяндама","доклад","back","доклад"
"презентация","n","презентация","презентация","back","презентация"
"жоба","n","жоба","проект","back","проект"
"жоспар","n","жоспар","план","back","план"
"бағдарлама","n","бағдарлама","программа","back","программа"
"стратегия","n","стратегия","стратегия","back","стратегия"
"тактика","n","тактика","тактика","back","тактика"
"әдіс","n","әдіс","метод","front","метод"
"тәсіл","n","тәсіл","способ","front","способ"
"технология","n","технология","технология","back","технология"
"инновация","n","инновация","инновация","back","инновация"
"жаңалық","n","жаңалық","новшество","back","новшество"
"өзгеріс","n","өзгеріс","изменение","front","изменение"
"даму","n","даму","развитие","back","развитие"
"өсу","n","өсу","рост","front","рост"
"өркендеу","n","өркендеу","процветание","front","процветание"
"гүлдену","n","гүлдену","расцвет","front","расцвет"
"жетістік","n","жетістік","достижение","front","достижение"
"табыс","n","табыс","успех","back","успех"
"сәттілік","n","сәттілік","удача","front","удача"
"бақыт","n","бақыт","счастье","back","счастье"
"шаттық","n","шаттық","радость","back","радость"
"қуаныш","n","қуаныш","радость","back","радость"
"мұң","n","мұң","печаль","back","печаль"
"қайғы","n","қайғы","горе","back","горе"
"реніш","n","реніш","обида","front","обида"
"налу","n","налу","обида","back","обида"
"күйзеліс","n","күйзеліс","стресс","front","стресс"
"депрессия","n","депрессия","депрессия","back","депрессия"
"шаршау","n","шаршау","усталость","back","усталость"
"демалу","n","демалу","отдых","back","отдых"
"ұйқы","n","ұйқы","сон","back","сон"
"түс","n","түс","сон (сновидение)","front","сон (сновидение)"
"арман","n","арман","мечта","back","мечта"
"мақсат","n","мақсат","цель","back","цель"
"мұрат","n","мұрат","идеал","back","идеал"
"идеал","n","идеал","идеал","back","идеал"
"кемелдік","n","кемелдік","совершенство","front","совершенство"
"жетілу","n","жетілу","совершенствование","front","совершенствование"
"жетілдіру","n","жетілдіру","улучшение","front","улучшение"
"жақсарту","n","жақсарту","улучшение","back","улучшение"
"түзету","n","түзету","исправление","front","исправление"
"өзгерту","n","өзгерту","изменение","front","изменение"
"ауыстыру","n","ауыстыру","замена","back","замена"
"алмастыру","n","алмастыру","замена","back","замена"
"орынбасу","n","орынбасу","замещение","back","замещение"
"аударма","n","аударма","перевод","back","перевод"
"тәржіма","n","тәржіма","перевод","front","перевод"
"мәтін","n","мәтін","текст","front","текст"
"сөйлем","n","сөйлем","предложение","front","предложение"
"сөз","n","сөз","слово","front","слово"
"буын","n","буын","слог","back","слог"
"дыбыс","n","дыбыс","звук","back","звук"
"әріп","n","әріп","буква","front","буква"
"алфавит","n","алфавит","алфавит","back","алфавит"
"әліпби","n","әліпби","алфавит","front","алфавит"
"жазу","n","жазу","письмо","back","письмо"
"оқу","n","оқу","чтение","back","чтение"
"тыңдау","n","тыңдау","слушание","back","слушание"
"сөйлеу","n","сөйлеу","говорение","front","говорение"
"айту","n","айту","произношение","back","произношение"
"түсіну","n","түсіну","понимание","front","понимание"
"меңгеру","n","меңгеру","усвоение","front","усвоение"
"үйрену","n","үйрену","изучение","front","изучение"
"жаттау","n","жаттау","заучивание","back","заучивание"
"қайталау","n","қайталау","повторение","back","повторение"
"бекіту","n","бекіту","закрепление","front","закрепление"
"тексеру","n","тексеру","проверка","front","проверка"
"бақылау","n","бақылау","контроль","back","контроль"
"қадағалау","n","қадағалау","наблюдение","back","наблюдение"
"көзқарас","n","көзқарас","взгляд","front","взгляд"
"пікір","n","пікір","мнение","front","мнение"
"ой","n","ой","мысль","back","мысль"
"идея","n","идея","идея","back","идея"
"түсінік","n","түсінік","понятие","front","понятие"
"ұғым","n","ұғым","понятие","back","понятие"
"анықтама","n","анықтама","определение","back","определение"
"түсіндірме","n","түсіндірме","объяснение","front","объяснение"
"сипаттама","n","сипаттама","описание","back","описание"
"баяндау","n","баяндау","изложение","back","изложение"
"әңгімелеу","n","әңгімелеу","повествование","front","повествование"
"суреттеу","n","суреттеу","описание","front","описание"
"талдау","n","талдау","анализ","back","анализ"
"сараптау","n","сараптау","экспертиза","back","экспертиза"
"зерттеу","n","зерттеу","исследование","front","исследование"
"зерделеу","n","зерделеу","изучение","front","изучение"
"қарау","n","қарау","рассмотрение","back","рассмотрение"
"шолу","n","шолу","обзор","back","обзор"
"ашу","n","ашу","открытие","back","открытие"
"жаңалық ашу","n","жаңалық ашу","открытие","back","открытие"
"өнертабыс","n","өнертабыс","изобретение","front","изобретение"
"өнертапқыш","n","өнертапқыш","изобретатель","front","изобретатель"
"ғалым","n","ғалым","ученый","back","ученый"
"зерттеуші","n","зерттеуші","исследователь","front","исследователь"
"зерделеуші","n","зерделеуші","изучающий","front","изучающий"
"маман","n","маман","специалист","back","специалист"
"сарапшы","n","сарапшы","эксперт","back","эксперт"
"білгір","n","білгір","знаток","front","знаток"
"шебер","n","шебер","мастер","front","мастер"
"ұстаз","n","ұстаз","учитель","back","учитель"
"тәлімгер","n","тәлімгер","наставник","front","наставник"
"бағыттаушы","n","бағыттаушы","направляющий","back","направляющий"
"жетекші","n","жетекші","руководитель","front","руководитель"
"көмекші","n","көмекші","помощник","front","помощник"
"көмек","n","көмек","помощь","front","помощь"
"жәрдем","n","жәрдем","поддержка","front","поддержка"
"демеу","n","демеу","поддержка","front","поддержка"
"қолдау","n","қолдау","поддержка","back","поддержка"
"сүйемелдеу","n","сүйемелдеу","сопровождение","front","сопровождение"
"қорғау","n","қорғау","защита","back","защита"
"сақтау","n","сақтау","сохранение","back","сохранение"
"қамтамасыз ету","n","қамтамасыз ету","обеспечение","back","обеспечение"
"жабдықтау","n","жабдықтау","снабжение","back","снабжение"
"жарақтандыру","n","жарақтандыру","оснащение","back","оснащение"
"Алматы","n","Алматы","Алматы","back","Алматы"
"Астана","n","Астана","Астана","back","Астана"
